,0,
75789,39.70588235,108.0000173
79119,39.70588235,108.0000173
76630,39.70588235,108.0000173
77801,39.70588235,108.0000173
79109,39.70588235,108.0000173
76711,39.70588235,108.0000173
75790,39.70588235,108.0000173
76041,39.70588235,108.0000173
76086,39.70588235,108.0000173
76708,39.70588235,108.0000173
79606,39.70588235,108.0000173
79508,39.70588235,108.0000173
75792,39.70588235,108.0000173
78155,39.70588235,108.0000173
78368,39.70588235,108.0000173
75169,39.70588235,108.0000173
79121,39.70588235,108.0000173
76058,39.70588235,108.0000173
77859,39.70588235,108.0000173
76301,39.70588235,108.0000173
78622,39.70588235,108.0000173
76706,39.70588235,108.0000173
76033,39.70588235,108.0000173
76009,39.70588235,108.0000173
75114,39.70588235,108.0000173
75701,39.70588235,108.0000173
77802,39.70588235,108.0000173
76044,39.70588235,108.0000173
79603,39.70588235,108.0000173
75574,39.70588235,108.0000173
79701,39.70588235,108.0000173
76050,39.70588235,108.0000173
79118,39.70588235,108.0000173
79764,39.70588235,108.0000173
76670,39.70588235,108.0000173
79703,39.70588235,108.0000173
76655,39.70588235,108.0000173
78043,39.70588235,108.0000173
76651,39.70588235,108.0000173
76707,39.70588235,108.0000173
76066,39.70588235,108.0000173
75684,39.70588235,108.0000173
78132,39.70588235,108.0000173
76084,39.70588235,108.0000173
76682,39.70588235,108.0000173
75496,39.70588235,108.0000173
75161,39.70588235,108.0000173
75147,39.70588235,108.0000173
78070,39.70588235,108.0000173
75119,39.70588235,108.0000173
76664,39.70588235,108.0000173
79602,39.70588235,108.0000173
75152,39.70588235,108.0000173
76528,39.70588235,108.0000173
75750,39.70588235,108.0000173
75165,39.70588235,108.0000173
76093,39.70588235,108.0000173
79601,39.70588235,108.0000173
79763,39.70588235,108.0000173
75709,39.70588235,108.0000173
76270,39.70588235,108.0000173
79563,39.70588235,108.0000173
75167,39.70588235,108.0000173
75705,39.70588235,108.0000173
79562,39.70588235,108.0000173
78661,39.70588235,108.0000173
75704,39.70588235,108.0000173
76082,39.70588235,108.0000173
78390,39.70588235,108.0000173
76633,39.70588235,108.0000173
79766,39.70588235,108.0000173
79605,39.70588235,108.0000173
77807,39.70588235,108.0000173
75573,39.70588235,108.0000173
79567,39.70588235,108.0000173
76691,39.70588235,108.0000173
79541,39.70588235,108.0000173
76059,39.70588235,108.0000173
79124,39.70588235,108.0000173
76354,39.70588235,108.0000173
76225,39.70588235,108.0000173
79707,39.70588235,108.0000173
78040,39.70588235,108.0000173
78123,39.70588235,108.0000173
78163,39.70588235,108.0000173
75554,39.70588235,108.0000173
79042,39.70588235,108.0000173
75763,39.70588235,108.0000173
77803,39.70588235,108.0000173
76638,39.70588235,108.0000173
75401,39.70588235,108.0000173
76701,39.70588235,108.0000173
76705,39.70588235,108.0000173
75706,39.70588235,108.0000173
76085,39.70588235,108.0000173
79110,39.70588235,108.0000173
79536,39.70588235,108.0000173
78655,39.70588235,108.0000173
78608,39.70588235,108.0000173
78133,39.70588235,108.0000173
76305,39.70588235,108.0000173
76064,39.70588235,108.0000173
79103,39.70588235,108.0000173
78638,39.70588235,108.0000173
78140,39.70588235,108.0000173
79106,39.70588235,108.0000173
76657,39.70588235,108.0000173
75142,39.70588235,108.0000173
79015,39.70588235,108.0000173
76624,39.70588235,108.0000173
75124,39.70588235,108.0000173
76031,39.70588235,108.0000173
79705,39.70588235,108.0000173
76640,39.70588235,108.0000173
76431,39.70588235,108.0000173
75757,39.70588235,108.0000173
75946,40.07352941,109.0000174
78370,40.07352941,109.0000174
76443,40.07352941,109.0000174
78606,40.07352941,109.0000174
75148,40.07352941,109.0000174
75410,40.07352941,109.0000174
75692,40.07352941,109.0000174
79104,40.07352941,109.0000174
76073,40.07352941,109.0000174
75651,40.07352941,109.0000174
78605,40.07352941,109.0000174
75158,40.07352941,109.0000174
75640,40.07352941,109.0000174
78004,40.07352941,109.0000174
75937,40.07352941,109.0000174
78852,40.07352941,109.0000174
79782,40.07352941,109.0000174
75944,40.07352941,109.0000174
75449,40.07352941,109.0000174
76023,40.07352941,109.0000174
76360,40.07352941,109.0000174
75559,40.07352941,109.0000174
75778,40.07352941,109.0000174
75943,40.07352941,109.0000174
79041,40.07352941,109.0000174
75642,40.07352941,109.0000174
79107,40.07352941,109.0000174
75423,40.07352941,109.0000174
75661,40.07352941,109.0000174
79108,40.07352941,109.0000174
76550,40.07352941,109.0000174
75760,40.07352941,109.0000174
77625,40.07352941,109.0000174
77808,40.07352941,109.0000174
75791,40.07352941,109.0000174
75103,40.07352941,109.0000174
76088,40.07352941,109.0000174
76309,40.07352941,109.0000174
76802,40.07352941,109.0000174
77320,40.07352941,109.0000174
75773,40.07352941,109.0000174
79761,40.07352941,109.0000174
75143,40.07352941,109.0000174
79706,40.07352941,109.0000174
77374,40.07352941,109.0000174
79758,40.07352941,109.0000174
75569,40.07352941,109.0000174
79072,40.07352941,109.0000174
