,zip codes,slope,intercept
98,78230,2.3098221120058726e-13,-88334.05804752876
99,75033,4.031336617446961e-13,-189204.49475510366
100,78759,5.438458031431966e-13,-339014.2710145619
101,78213,1.4537892583967907e-13,-63191.12670694252
102,76210,2.478315774992845e-13,-119874.01208971726
103,77338,1.2431699183458706e-13,-30767.801614191674
104,75024,3.7855218896662585e-13,-155834.6596506898
105,78216,1.9961916824006212e-13,-85416.53595110014
106,75220,3.1978630878319133e-13,-172714.89672719053
107,75034,3.9524266986629434e-13,-156352.07962561608
108,77090,1.4397976823694749e-13,-49348.35755670679
109,77057,1.6355966778930353e-13,-7630.890988481813
110,77055,4.1590044408505437e-13,-201345.94575047272
111,75050,1.6793218005464303e-13,-85179.63843998167
112,77060,1.099719571412827e-13,-40374.08977054432
113,76112,1.5415848282111762e-13,-84360.00655070052
114,77024,8.845260327698674e-13,-398411.431820725
115,75013,3.6103192030924704e-13,-106195.24271099351
116,77365,1.6963988865034808e-13,-35331.83964254032
117,77075,1.4577124440595327e-13,-53558.34708541416
118,75044,1.9690042729286294e-13,-72915.75629231348
119,78237,7.721849624472485e-14,-14881.848207746749
120,77074,1.6120003539416682e-13,-92662.1181131802
121,77471,1.5631827542153824e-13,-53159.81455205442
122,79925,1.0098064390714471e-13,-2431.492796174105
123,78154,1.8345185250125364e-13,-51836.62863252542
124,78610,2.9518227788549806e-13,-166733.89420023892
125,75042,1.991011604474235e-13,-128649.91452966919
126,78209,3.460451972654857e-13,-145274.96535742428
127,76248,3.515920574787371e-13,-148207.2047172655
128,75231,1.49679074362454e-13,-57677.68721631484
129,77502,1.3604112990306372e-13,-64190.723403161304
130,75154,2.1911795961691036e-13,-113328.47726965579
131,78221,1.2754354650164057e-13,-52376.83510865268
132,78109,1.4769538427048967e-13,-47515.59310038676
133,79927,6.208402984279771e-14,25803.431547197164
134,77583,1.6958355234761964e-13,-26457.007299396064
135,78218,1.4342954030243653e-13,-70937.0905927837
136,75224,1.7531608752626808e-13,-115664.29232182621
137,75206,4.013444104529139e-13,-214090.64518507535
138,77065,1.6969175108784238e-13,-63712.37529662976
139,75069,2.846408400390824e-13,-150005.04133553046
140,78210,1.5775281776864623e-13,-97304.23943406052
141,77073,1.134737318538718e-13,-14404.933839267236
142,76106,1.1585174459036244e-13,-62446.085324738146
143,77087,1.1796444684565135e-13,-50593.834149458125
144,76262,3.6977549939287457e-13,-177093.86890847393
145,77014,1.239762824235338e-13,-20340.67960221102
146,77007,3.0064881690399597e-13,-48763.962263484544
147,76180,2.0377971798617909e-13,-102110.13521823825
148,78232,2.464952587331457e-13,-104535.8513605734
149,77045,9.51857150439122e-14,-12557.327574899173
150,76002,2.1609040412306055e-13,-105083.12368475625
151,77489,1.1637547882577848e-13,-23501.30784202843
152,75075,3.1123949205639147e-13,-171218.2581288543
153,77063,1.5901960337807628e-13,-44570.636603213556
154,77035,2.135792160620855e-13,-112768.56614368793
155,75234,2.2248725109481294e-13,-110943.15706847719
156,75248,4.133746667655908e-13,-233640.04356557282
157,79915,6.737236756574355e-14,238.8909477386478
158,77092,2.3218753342934423e-13,-151714.87780140952
159,76227,2.601263511818644e-13,-143833.3401930286
160,76123,1.6224605297463396e-13,-47997.57336519376
161,77339,1.7457962189352163e-13,-58657.38840785436
162,77377,2.2405316343663275e-13,-65876.41784189333
163,76039,2.3025364515035497e-13,-119708.79455453978
164,77049,1.2549643013335232e-13,-23578.244322472106
165,77009,2.9687500020871506e-13,-152098.68464748573
166,78723,5.125529437323383e-13,-398490.09688578214
167,75077,3.13765040391138e-13,-158722.3172475693
168,77389,2.5804980561739973e-13,-73803.62990647234
169,77571,1.5785950361213336e-13,-65777.23890285837
170,78108,1.5084945845306308e-13,23847.146581963083
171,76021,2.440449757481262e-13,-113978.55043428548
172,77520,1.0095652558659656e-13,-34227.07891125338
173,77506,1.0789019031174562e-13,-49439.217329220046
174,78749,4.580028352384465e-13,-305557.5055856882
175,77382,2.7559788874212503e-13,-33058.01781348814
176,77076,1.1261530141774663e-13,-41161.44346864273
177,77381,2.923335684080872e-13,-97373.11934637878
178,76013,1.8862925540299485e-13,-85146.9093206719
179,77004,2.0349734964634995e-13,-17115.797412201297
180,77304,1.6769210588958139e-13,-16027.230574817368
181,77096,2.835045652841034e-13,-76999.10106350703
